2.5995, 2.5922, 2.5838, 2.5744, 2.5634, 2.5495, 2.5325, 2.5131, 2.4931, 2.2725, 2.3335, 2.4927, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001
2.6054, 2.6007, 2.5962, 2.5922, 2.5882, 2.5845, 2.5806, 2.5754, 2.5661, 2.5446, 2.4997, 2.4537, 2.2079, 2.2603, 2.3802, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001
2.8249, 2.6093, 2.6083, 2.6079, 2.6106, 2.6162, 2.6285, 2.6581, 2.7105, 2.6205, 2.5545, 2.5044, 2.4679, 2.4416, 2.426, 2.1526, 2.1986, 2.2877, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001
2.8553, 2.8364, 2.6178, 2.62, 2.625, 2.6344, 2.6512, 2.6887, 2.8191, 2.6889, 3.8472, 4.8716, 5.155, 4.9678, 4.0184, 2.5359, 2.3417, 2.3315, 2.1041, 2.1452, 2.2098, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001
2.8873, 2.8685, 2.8516, 2.8356, 2.6335, 2.6428, 2.6594, 2.6891, 2.7626, 2.8216, 5.0222, 7.4646, 9.422, 9.8033, 10.0001, 9.747, 8.9975, 7.3322, 5.24, 2.3485, 2.2518, 2.0617, 2.0982, 2.143, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001
2.9194, 2.9012, 2.884, 2.8684, 2.8536, 2.647, 2.6606, 2.6828, 2.7248, 2.8417, 3.0893, 8.0806, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 8.1217, 4.2374, 2.1839, 2.0231, 2.0561, 2.0849, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001
2.9516, 2.9342, 2.9178, 2.9017, 2.8868, 2.8729, 2.6601, 2.6772, 2.704, 2.7546, 2.9051, 4.3945, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 6.3395, 2.1242, 1.9879, 2.0185, 2.034, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001
3.202, 2.9669, 2.9508, 2.9353, 2.9199, 2.906, 2.8932, 2.8828, 2.6909, 2.7209, 2.7763, 2.9339, 5.1251, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 9.0044, 2.0717, 1.956, 1.9833, 1.9886, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001
3.251, 3.2225, 3.1953, 2.969, 2.9544, 2.9396, 2.9261, 2.9137, 2.9038, 2.7023, 2.7341, 2.7891, 2.9307, 5.2575, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 2.0245, 1.9265, 1.9511, 1.9481, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001
3.2995, 3.2718, 3.2443, 3.2171, 2.9884, 2.9742, 2.96, 2.9466, 2.9348, 2.9251, 2.7118, 2.7431, 2.7966, 2.9157, 4.2247, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 1.9823, 1.8991, 1.9212, 1.9115, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001, 10.0001
