0.159, 0.383021, 0.0104584
0.16, 0.385224, 0.0106474
0.161, 0.387424, 0.0108385
0.162, 0.38962, 0.0110318
0.163, 0.391812, 0.0112273
0.164, 0.394, 0.011425
0.165, 0.396184, 0.0116249
0.166, 0.398365, 0.011827
0.167, 0.400541, 0.0120313
0.168, 0.402714, 0.0122379
0.169, 0.404882, 0.0124466
0.17, 0.407047, 0.0126577
0.171, 0.409207, 0.0128709
0.172, 0.411364, 0.0130865
0.173, 0.413516, 0.0133043
0.174, 0.415664, 0.0135244
0.175, 0.417809, 0.0137467
0.176, 0.419949, 0.0139714
0.177, 0.422085, 0.0141983
0.178, 0.424217, 0.0144276
0.179, 0.426344, 0.0146592
0.18, 0.428468, 0.0148931
0.181, 0.430587, 0.0151293
0.182, 0.432702, 0.0153679
0.183, 0.434813, 0.0156088
0.184, 0.436919, 0.0158521
0.185, 0.439021, 0.0160978
0.186, 0.441119, 0.0163458
0.187, 0.443212, 0.0165961
0.188, 0.445302, 0.0168489
0.189, 0.447386, 0.0171041
0.19, 0.449466, 0.0173616
0.191, 0.451542, 0.0176216
0.192, 0.453614, 0.0178839
0.193, 0.455681, 0.0181487
0.194, 0.457743, 0.0184159
0.195, 0.459801, 0.0186855
0.196, 0.461854, 0.0189576
0.197, 0.463903, 0.019232
0.198, 0.465947, 0.019509
0.199, 0.467987, 0.0197884
0.2, 0.470022, 0.0200702
0.201, 0.472052, 0.0203545
0.202, 0.474078, 0.0206413
0.203, 0.476099, 0.0209305
0.204, 0.478116, 0.0212223
0.205, 0.480127, 0.0215165
0.206, 0.482134, 0.0218132
0.207, 0.484136, 0.0221123
0.208, 0.486134, 0.022414
0.209, 0.488126, 0.0227182
0.21, 0.490114, 0.0230249
0.211, 0.492097, 0.0233341
0.212, 0.494075, 0.0236459
0.213, 0.496049, 0.0239601
0.214, 0.498017, 0.0242769
0.215, 0.49998, 0.0245962
0.216, 0.501939, 0.024918
0.217, 0.503892, 0.0252424
0.218, 0.505841, 0.0255693
0.219, 0.507785, 0.0258988
0.22, 0.509723, 0.0262308
0.221, 0.511657, 0.0265654
0.222, 0.513585, 0.0269025
0.223, 0.515509, 0.0272422
0.224, 0.517427, 0.0275845
0.225, 0.51934, 0.0279293
0.226, 0.521249, 0.0282767
0.227, 0.523152, 0.0286267
0.228, 0.525049, 0.0289792
0.229, 0.526942, 0.0293344
0.23, 0.52883, 0.0296921
0.231, 0.530712, 0.0300524
0.232, 0.532589, 0.0304153
0.233, 0.534461, 0.0307807
0.234, 0.536327, 0.0311488
0.235, 0.538189, 0.0315195
0.236, 0.540044, 0.0318927
0.237, 0.541895, 0.0322686
0.238, 0.54374, 0.0326471
0.239, 0.54558, 0.0330282
0.24, 0.547415, 0.0334118
0.241, 0.549244, 0.0337981
0.242, 0.551068, 0.034187
0.243, 0.552886, 0.0345785
